USDOT Number,Legal Name,DBA Name,pv_apcant_id
744951,A & A EXPRESS LLC,,254101
1468174,A & A FREIGHT INC,,517224
,A & A GRAIN SYSTEMS AND EQUIPMENT LLC,,355715
988202,A & A TRANSPORTATION LLC,,347738
829789,A & A TRANSPORTATION INC,,279965
2213958,A & B ENTERPRISES BROKERAGE INC,A & B LOGISTICS,39235
2510397,A & B MILLER CARRIERS LLC,,789015
162419,A & B TRACTOR SERVICE INC,,9406
,A & B TRANSFER INC,,105794
2507383,A & B TRUCKING LLC,,787637
571694,A & C ENVIRONMENTAL INC,,192906
,A & C TIERRA ENVIRONMENTAL INC,,405947
520966,A & C TOWING INC,,76896
290848,A & D EXPRESS INC,,32118
1741875,A & D TRANSPORT INC,,554572
1869012,A & D TRUCKING LLC,,592856
2238721,A & E LOGISTICS LLC,,512420
1622316,A & I TRUST IN GOD TRANSPORT INC,,566904
1767064,A & J CARGO INC,,566909
1869866,A & J DELIVERY SERVICE LLC,,593083
371654,A & J LEASING INC,,269936
2079822,A & J LOCK AND SAFE INC,ELITE TOWING & RECOVERY,644484
672718,A & J TIMBER & VENEER INC,,290747
,A & J TRANSPORT INC,,69040
805507,A & K TOWING LLC,,411341
3150171,A & K TRANSPORT LLC,,1037557
2925959,A & M AUTO TRANSPORT LLC,,909554
,A & M PRIORITY FREIGHT SERVICES INC,,339046
2233493,A & M REPAIRS LLC,,423718
738643,A & M TRUCKING LLC,,263634
1510270,A & N HAULING INC,,584493
2971724,A & P SHIPPING CORPORATION,,83
,A & S PARKING LOT MAINTENANCE LLC,,791754
1312693,A & S TRANSPORTATION INC,,421377
2828444,A & T FARMS LLC,,941109
1358139,A & T FREIGHT INC,,437725
2352251,A & T FREIGHT INC,,720471
3062790,A & T H TRUCKING LLC,,980010
567850,A & W EQUIPMENT INC,AMERICAN BULK CARRIER,87896
,A & W TOWING LLC,,952565
3164701,A & Z EXPEDITORS LLC,,1045782
671922,A & Z TRANSPORTATION LLC,,554993
1033300,A &J TRUCKING INC,,352928
2219936,A A COMPANY INC,,151182
,A A SEPTIC SERVICE & ROTARY SEWER CLEANING INC,AA SEPTIC SERVICE INCORPORATED,455572
750540,A AND B CONTRACTING LLC,,503371
2823388,A AND D LOGISTICS LLC,,861780
,A AND H CONCRETE INC,,961393
2535616,A AND J LIVESTOCK LLC,,800224
1770288,A AND M SHIPPING LLC,,563376
1693794,A BETTER LIMOUSINE COMPANY LLC,,538264
1068214,A BETTER WAY MOVING AND STORAGE INC,,473162
1886253,A BETTER WAY TRANSPORTATION LLC,,597214
242852,A C FREIGHT SERVICES INC,,21121
707793,A CRAFT MOVING AND STORAGE INC,A SOFT TOUCH MOVING & STORAGE,242328
1707676,A CROSS COUNTRY TRUCKING LLC,,543039
3174057,A DANGERFIELD TRANSPORTATION LLC,,1051121
1163780,A DARLING COURIER SERVICE INC,,384707
2908519,A F M TRANS INC,,901230
1709783,A F M TRANSPORTATION INC,,543710
1461653,A FAMILY TRADITION LLC,,466467
2971732,A FIVE STAR FORWARDING LLC,,542
2280218,A GROUP INC,,696730
268305,A GUARANTEED "3RD DAY" VAN SERVICE CORPORATION,"3RD DAY" VAN SERVICE,25635
2004382,A I C I INC,,660471
238168,A J EXPRESS COMPANY INC,,137739
758378,A J RYNN TRANSFER INC,,258929
626645,A J TRANSPORT INC,,488605
1240285,A J TRUCKLINES INC,,401890
519400,A J W BUS CORPORATION,,64819
996674,A LANDON EXCAVATING LLC,,605583
2038680,A LUXURY LIMO INC,,631931
2823906,A M H TRANS INC,,862040
438095,A M L INC,,846116
2965268,A M R TRANSPORTATION LLC,,930067
1178595,A M T TRUCKING INC,,384805
,A MARTINEZ TRUCKING INC,,709926
3142379,A MICKENS TRANSPORT LLC,,1033309
1913775,A MOVING XPERIENCE LLP,,603436
2243666,A N D LOGISTICS LLC,,584744
167653,A OF I INC,,115072
2569359,A ONE BROKERAGE INC,,815355
2955280,A ONE TRANSPORT INC,,930116
2565041,A PLUS QUALITY TRANSPORT INCORPORATED,A+ QUALITY TRANSPORT INC,814788
2196804,A PLUS TRANSPORT LLC,,679854
383484,A R TRANSPORT INC,,53866
688917,A RELOCATION SOLUTIONS MANAGEMENT LLC,,550
688917,A RELOCATION SOLUTIONS MANAGEMENT LLC,,21460
,A S TRANSPORT INC,,554059
2080906,A S TRUCKING CORP,,643330
1670572,A SENIOR MOMENT INC,,629959
3042994,A STEP ABOVE TRANSPORTING LLC,,969049
1618931,A STRAIGHTLINE TRUCKING INC,,513970
1238853,A SUPERIOR COMPOST COMPANY,,411279
2971737,A THREE RIVERS FORWARDING LLC,,424
2206115,A TO B TRANSPORT INC,,683041
2955112,A TO B TRANSPORTATION LLC,,924552
3182173,A TO Z CARGO INC,,1055210
2559946,A TO Z TRANSPORT LLC,,811811
2261014,A TOUCH OF CLASS LIMOUSINE CO INC,,689305
2266039,A TOUCH OF CLASS LIMOUSINE INC,,691263
1250690,A TOUCH OF CLASS LIMOUSINE LLC,,585822
2370714,A TOW LLC,,730332
2269928,A TOWING COMPANY,,692832
3121580,A UNIQUE TRAVEL LLC,,1022063
2279053,A V TRANSPORTATION LLC,A V TRANSPORTATION,696343
2504314,A VAN-GO LLC,,786369
248124,A&A INCORPORATED,,23822
1259333,A&B  TRANSPORT  INC,,405425
1159570,A&B FREIGHT LLC,,379651
2089639,A&D LIMOUSINE LLC,,646639
170226,A&E TRANSPORTATION INC,,292667
2384871,A&H COURIER SERVICE LLC,,736489
3198106,A&J GROUND TRANSPORT LLC,,1066012
3152224,A&K LUXURY TRANSPORTATION,LUXURY TRANSPORTATION,1038702
2247135,A&L BROKERS LLC,,635971
1297722,A&L ENTERPRISES LLC,,417332
207565,A&L TRUCKING INC,,128843
,A&M EXXON,,122412
2063795,A&M LOGISTICALSERVICES INC,,638634
,A&M TRANSPORT INC,,618619
,A&M TRANSPORT INC,,618620
2149169,A&R TRANSPORTATION LLC,,666716
2862233,A&T TRANS INC,,880783
,A+ COMPUTERS LLC,SNK LOGISTICS,827588
,A+ SERVICES,,912672
2932363,A+ SERVICES LLC,QUICK SHOT TRANSPORTATION,912673
804597,A-1 ABOVE VAN LINES INC,,269526
457555,A-1 CHARTERS INC,,180375
3115248,A-1 CRAFTSMEN LLC,,1026425
703844,A-1 EXECUTIVE LIMOUSINE SERVICES INC,,236316
